id,label,artist,src
1,有梦不难,林俊杰,林俊杰 - 有梦不难.mp3
2,花火,汪峰,汪峰 - 花火.mp3
3,春雨里洗过的太阳,王力宏,王力宏 - 春雨里洗过的太阳.mp3
4,黑武士,林俊杰,林俊杰 - 黑武士.mp3
5,Pray,千菅春香,千菅春香 - Pray.mp3
6,爱 (Live),林俊杰,林俊杰 - 爱 (Live).mp3
7,听妈妈的话,周杰伦,周杰伦 - 听妈妈的话.mp3
8,床边故事,周杰伦,周杰伦 - 床边故事.mp3
9,西界,林俊杰,林俊杰 - 西界.mp3
10,龙卷风,周杰伦,周杰伦 - 龙卷风.mp3
11,伏笔,薛之谦,薛之谦 - 伏笔.mp3
12,不为谁而作的歌,林俊杰,林俊杰 - 不为谁而作的歌.mp3
13,心雨,周杰伦,周杰伦 - 心雨.mp3
14,三葉のテーマ,RADWIMPS,RADWIMPS - 三葉のテーマ.mp3
15,前世情人,周杰伦,周杰伦 - 前世情人.mp3
16,剩下的盛夏,TFBOYS、嘻游记,TFBOYS、嘻游记 - 剩下的盛夏.mp3
17,因为爱情,陈奕迅、王菲,陈奕迅、王菲 - 因为爱情.mp3
18,她说,林俊杰,林俊杰 - 她说.mp3
19,一丝不挂,陈奕迅,陈奕迅 - 一丝不挂.mp3
20,回忆的沙漏,G.E.M.邓紫棋,G.E.M.邓紫棋 - 回忆的沙漏.mp3
21,太傻,金志文,金志文 - 太傻.mp3
22,背过手,薛之谦,薛之谦 - 背过手.mp3
23,最美的太阳 (Live),张杰、林俊杰,张杰、林俊杰 - 最美的太阳 (Live).mp3
24,你不是真正的快乐,五月天,五月天 - 你不是真正的快乐.mp3
25,Vale Of Tears,Jay Clifford,Jay Clifford - Vale Of Tears.mp3
26,CHIEH WEN,TZU,TZU-CHIEH WEN - Sakura Iro No Yume.mp3
27,不该,周杰伦、aMEI,周杰伦、aMEI - 不该.mp3
28,Galway Girl (Martin Jensen Remix),Ed Sheeran、Martin Jensen,Ed Sheeran、Martin Jensen - Galway Girl (Martin Jensen Remix).mp3
29,情非得已,庾澄庆,庾澄庆 - 情非得已.mp3
30,Routine,Alan Walker、David Whistle,Alan Walker、David Whistle - Routine.mp3
31,走在冷风中,刘思涵,刘思涵 - 走在冷风中.mp3
32,ヒトリゴト,ClariS,ClariS - ヒトリゴト.mp3
33,有一个姑娘,李荣浩,李荣浩 - 有一个姑娘.mp3
34,威廉古堡,周杰伦,周杰伦 - 威廉古堡.mp3
35,清明雨上,许嵩,许嵩 - 清明雨上.mp3
36,依然爱你,王力宏,王力宏 - 依然爱你.mp3
37,晴天,周杰伦,周杰伦 - 晴天.mp3
38,成都,赵雷,赵雷 - 成都.mp3
39,Demons,Imagine Dragons,Imagine Dragons - Demons.mp3
40,彩虹,周杰伦,周杰伦 - 彩虹.mp3
41,杀手,林俊杰,林俊杰 - 杀手.mp3
42,林俊杰,我们,我们-林俊杰.mp3
43,最好,薛之谦,薛之谦 - 最好.mp3
44,黑键,林俊杰,林俊杰 - 黑键.mp3
45,恋爱ing,五月天,五月天 - 恋爱ing.mp3
46,不说,李荣浩,李荣浩 - 不说.mp3
47,平行線,さユり,さユり - 平行線.mp3
48,亲爱的小孩,苏芮,苏芮 - 亲爱的小孩.mp3
49,回到过去,周杰伦,周杰伦 - 回到过去.mp3
50,富士山下,陈奕迅,陈奕迅 - 富士山下.mp3
51,喜剧之王,李荣浩,李荣浩 - 喜剧之王.mp3
52,不潮不用花钱,林俊杰,林俊杰 - 不潮不用花钱.mp3
53,拜拜,李荣浩,李荣浩 - 拜拜.mp3
54,当你老了,莫文蔚,莫文蔚 - 当你老了.mp3
55,江南 (粤语版),林俊杰,林俊杰 - 江南 (粤语版).mp3
56,崇拜,林俊杰,林俊杰 - 崇拜.mp3
57,安静,周杰伦,周杰伦 - 安静.mp3
58,Love U U,林俊杰,林俊杰 - Love U U.mp3
59,等你爱我,陈奕迅,陈奕迅 - 等你爱我.mp3
60,哑巴,薛之谦,薛之谦 - 哑巴.mp3
61,多余的解释,许嵩,许嵩 - 多余的解释.mp3
